Number,Achievement,District,Students,Rating
'247904,93,Poth Isd,830,A
'247906,85,Stockdale Isd,830,B
'248901,66,Kermit Isd,1416,D
'248902,74,Wink-Loving Isd,433,F
'249901,89,Alvord Isd,708,A
'249902,77,Boyd Isd,1326,C
'249903,76,Bridgeport Isd,2061,C
'249904,75,Chico Isd,605,C
'249905,87,Decatur Isd,3337,B
'249906,84,Paradise Isd,1187,B
'250902,82,Hawkins Isd,686,B
'250903,77,Mineola Isd,1611,B
'250904,83,Quitman Isd,1117,B
'250905,73,Yantis Isd,394,D
'250906,85,Alba-Golden Isd,883,B
'250907,81,Winnsboro Isd,1519,B
'251901,86,Denver City Isd,1685,B
'251902,77,Plains Isd,447,C
'252901,79,Graham Isd,2401,C
'252903,89,Olney Isd,676,A
'253901,75,Zapata County Isd,3505,B
'254901,67,Crystal City Isd,1951,C
'254902,76,La Pryor Isd,468,C
