Number,Achievement,District,Students,Rating
'057906,65,Desoto Isd,9650,D
'057907,69,Duncanville Isd,12854,C
'057909,79,Garland Isd,56471,B
'057910,74,Grand Prairie Isd,29266,B
'057911,96,Highland Park Isd,6971,A
'057912,77,Irving Isd,33901,B
'057913,76,Lancaster Isd,7365,C
'057914,74,Mesquite Isd,40932,C
'057916,85,Richardson Isd,39204,B
'057919,93,Sunnyvale Isd,1807,A
'057922,95,Coppell Isd,12577,A
'058906,69,Lamesa Isd,1917,C
'059901,74,Hereford Isd,4176,C
'060902,87,Cooper Isd,821,B
'060914,74,Fannindel Isd,174,B
'061901,84,Denton Isd,29152,B
'061902,89,Lewisville Isd,52368,B
'061903,80,Pilot Point Isd,1399,C
'061905,81,Krum Isd,2116,C
'061906,86,Ponder Isd,1411,B
'061907,87,Aubrey Isd,2489,B
'061908,80,Sanger Isd,2718,C
'061910,93,Argyle Isd,2692,A
'061911,90,Northwest Isd,23061,A
'061912,86,Lake Dallas Isd,3951,B
'061914,78,Little Elm Isd,7514,C
'062901,75,Cuero Isd,2042,C
'062903,76,Yoakum Isd,1608,C
'062904,76,Yorktown Isd,533,C
'064903,72,Carrizo Springs Cisd,2203,B
'065901,81,Clarendon Isd,470,B
'066901,69,Benavides Isd,339,D
'066902,77,San Diego Isd,1459,B
'066903,66,Freer Isd,807,C
'067902,83,Cisco Isd,855,B
'067903,78,Eastland Isd,1182,C
'067904,85,Gorman Isd,305,B
'067907,68,Ranger Isd,339,D
'067908,89,Rising Star Isd,154,A
'068901,67,Ector County Isd,32179,D
'069902,88,Nueces Canyon Cisd,274,B
'070903,76,Ennis Isd,5797,C
'070905,67,Ferris Isd,2707,D
'070907,78,Italy Isd,628,B
'070908,89,Midlothian Isd,8846,B
'070910,89,Palmer Isd,1215,B
'070911,86,Red Oak Isd,5788,B
'070912,80,Waxahachie Isd,8502,B
'070915,82,Maypearl Isd,1187,B
'071901,77,Clint Isd,11473,B
'071902,77,El Paso Isd,58178,B
'071903,77,Fabens Isd,2286,B
'071904,77,San Elizario Isd,3796,B
'071905,78,Ysleta Isd,41185,B
'071906,73,Anthony Isd,835,B
'071907,85,Canutillo Isd,6200,A
'071908,79,Tornillo Isd,1111,B
'071909,82,Socorro Isd,46398,B
'072902,89,Dublin Isd,1190,A
'072903,89,Stephenville Isd,3659,B
'073903,58,Marlin Isd,835,F
'073905,73,Rosebud-Lott Isd,636,C
'074903,71,Bonham Isd,1868,C
'074905,85,Ector Isd,228,B
'074907,80,Honey Grove Isd,620,B
'074909,75,Leonard Isd,920,D
'074911,81,Savoy Isd,317,C
'074912,84,Trenton Isd,568,B
'074917,73,Sam Rayburn Isd,543,C
'075901,85,Flatonia Isd,564,B
'075903,76,Schulenburg Isd,753,C
'075908,84,Round Top-Carmine Isd,266,B
'076903,90,Roby Cisd,302,A
'076904,87,Rotan Isd,258,B
'077901,85,Floydada Isd,759,B
'077902,78,Lockney Isd,459,B
'079906,89,Needville Isd,3222,A
'080901,85,Mount Vernon Isd,1622,B
'081902,83,Fairfield Isd,1816,B
'081904,79,Teague Isd,1230,C
'081905,81,Wortham Isd,510,C
'082902,64,Dilley Isd,979,C
'082903,61,Pearsall Isd,2278,D
'083903,78,Seminole Isd,2892,C
'084910,91,Clear Creek Isd,42008,A
'084911,94,Friendswood Isd,6047,A
'085902,68,Post Isd,869,C
'086901,86,Fredericksburg Isd,3184,B
'086902,82,Harper Isd,591,B
'087901,93,Glasscock County Isd,312,A
'088902,84,Goliad Isd,1313,B
'089901,63,Gonzales Isd,2840,F
'089903,75,Nixon-Smiley Cisd,1078,B
'090904,78,Pampa Isd,3570,C
'091901,91,Bells Isd,821,A
'091902,75,Collinsville Isd,546,C
'091903,81,Denison Isd,4647,B
'091905,88,Howe Isd,1163,B
'091906,80,Sherman Isd,7452,C
'091908,93,Van Alstyne Isd,1598,A
'091909,83,Whitesboro Isd,1579,B
'091910,89,Whitewright Isd,852,B
'091913,85,Pottsboro Isd,1436,B
'091914,82,S And S Cisd,917,B
'091917,85,Gunter Isd,924,B
'091918,70,Tom Bean Isd,666,F
'092901,73,Gladewater Isd,1780,C
'092902,74,Kilgore Isd,4070,C
'092903,79,Longview Isd,8547,B
'092904,78,Pine Tree Isd,4672,C
'092906,80,Sabine Isd,1467,C
'092907,90,Spring Hill Isd,1957,A
'092908,89,White Oak Isd,1512,B
'093901,79,Anderson-Shiro Cisd,860,B
'093903,88,Iola Isd,501,A
'093904,65,Navasota Isd,3047,D
'093905,72,Richards Isd,163,C
'094901,74,Seguin Isd,7446,C
'094902,86,Schertz-Cibolo-U City Isd,15615,B
'094903,85,Navarro Isd,1908,B
'094904,83,Marion Isd,1467,B
'095901,87,Abernathy Isd,766,B
'095903,81,Hale Center Isd,607,B
'095905,80,Plainview Isd,5511,B
'096904,83,Memphis Isd,503,B
'097902,82,Hamilton Isd,847,B
'097903,87,Hico Isd,591,B
'098901,92,Gruver Isd,428,A
'098904,90,Spearman Isd,877,A
'099902,77,Chillicothe Isd,219,B
'099903,85,Quanah Isd,531,B
'101906,81,Crosby Isd,6133,B
'101914,91,Katy Isd,77331,A
'101915,84,Klein Isd,52896,B
'101916,81,La Porte Isd,7555,B
'101921,92,Tomball Isd,15884,A
'102902,65,Marshall Isd,5432,D
'102903,77,Waskom Isd,918,C
'102904,90,Hallsville Isd,5070,A
'102905,82,Harleton Isd,734,B
'102906,80,Elysian Fields Isd,884,C
'104901,87,Haskell Cisd,552,B
'105902,72,San Marcos Cisd,8167,C
'105904,93,Dripping Springs Isd,6430,A
'105905,91,Wimberley Isd,2437,A
'105906,75,Hays Cisd,19788,C
'106901,92,Canadian Isd,930,A
'107901,84,Athens Isd,3111,B
'107902,87,Brownsboro Isd,2712,B
'107904,77,Cross Roads Isd,545,B
'107905,83,Eustace Isd,1547,B
'107906,90,Malakoff Isd,1389,A
'107910,82,Lapoynor Isd,453,B
'108902,70,Donna Isd,14792,C
'108903,74,Edcouch-Elsa Isd,5181,C
'108904,83,Edinburg Cisd,34098,A
'108905,87,Hidalgo Isd,3212,A
'108906,86,Mcallen Isd,23640,A
'108907,83,Mercedes Isd,5511,B
'108908,82,Mission Cisd,15891,B
'108909,85,Pharr-San Juan-Alamo Isd,32667,B
'108910,76,Progreso Isd,1901,B
'108911,92,Sharyland Isd,10170,A
'108912,77,La Joya Isd,28749,B
'108913,78,Weslaco Isd,17122,B
'108914,80,La Villa Isd,579,B
'108915,77,Monte Alto Isd,1024,B
'108916,91,Valley View Isd,4479,A
'109904,75,Hillsboro Isd,2019,C
'109905,79,Hubbard Isd,397,C
'109907,75,Itasca Isd,692,C
'109911,79,Whitney Isd,1513,C
'110902,72,Levelland Isd,2986,C
'110906,77,Smyer Isd,431,C
'110907,93,Sundown Isd,604,A
'111901,84,Granbury Isd,7115,B
'111902,86,Lipan Isd,390,B
'111903,82,Tolar Isd,786,B
'112901,84,Sulphur Springs Isd,4329,B
'112905,80,Cumby Isd,392,B
'112906,78,North Hopkins Isd,518,C
'113901,68,Crockett Isd,1331,C
'113902,72,Grapeland Isd,508,D
'113903,89,Lovelady Isd,547,B
'113905,79,Latexo Isd,485,C
'113906,64,Kennard Isd,278,D
'114901,65,Big Spring Isd,3946,D
'114902,74,Coahoma Isd,1001,C
'114904,88,Forsan Isd,782,B
'115901,85,Ft Hancock Isd,409,B
'116901,92,Caddo Mills Isd,1735,A
'116902,80,Celeste Isd,488,B
'116903,77,Commerce Isd,1510,C
'116905,79,Greenville Isd,5469,B
'116906,82,Lone Oak Isd,1043,B
'116908,70,Quinlan Isd,2628,D
'116909,83,Wolfe City Isd,674,B
'116910,71,Campbell Isd,327,C
'116915,90,Bland Isd,683,A
'116916,81,Boles Isd,543,B
'117901,85,Borger Isd,2730,B
'117903,84,Sanford-Fritch Isd,737,B
'117904,83,Plemons-Stinnett-Phillips Cisd,686,B
'118902,91,Irion County Isd,277,A
'119902,77,Jacksboro Isd,1041,C
'119903,78,Perrin-Whitt Cisd,340,C
'120901,79,Edna Isd,1572,C
'120902,73,Ganado Isd,766,C
'120905,85,Industrial Isd,1172,B
'121902,86,Brookeland Isd,406,B
'121904,75,Jasper Isd,2483,B
'124901,75,Jim Hogg County Isd,1147,B
'125901,67,Alice Isd,5068,C
'125902,66,Ben Bolt-Palito Blanco Isd,554,D
'125903,81,Orange Grove Isd,1875,B
'125905,78,Premont Isd,582,B
'126901,70,Alvarado Isd,3720,C
'126902,82,Burleson Isd,12167,B
'126903,72,Cleburne Isd,6696,C
'126904,91,Grandview Isd,1214,A
'126905,85,Joshua Isd,5511,B
'126906,79,Keene Isd,1048,B
'126907,78,Rio Vista Isd,731,C
'126908,77,Venus Isd,2136,C
'126911,78,Godley Isd,2001,C
'127901,78,Anson Isd,771,C
'127903,78,Hamlin Isd,397,C
'127904,78,Hawley Isd,737,C
'127905,84,Lueders-Avoca Isd,106,B
'127906,87,Stamford Isd,670,B
'128901,78,Karnes City Isd,1129,C
'128902,72,Kenedy Isd,824,B
'128904,95,Falls City Isd,353,A
'129901,79,Crandall Isd,4046,C
'129902,86,Forney Isd,10179,B
'129903,75,Kaufman Isd,3953,B
'129904,81,Kemp Isd,1613,B
'129905,85,Mabank Isd,3509,B
'129906,72,Terrell Isd,4612,C
'129910,81,Scurry-Rosser Isd,1028,B
'130901,93,Boerne Isd,8651,A
'130902,85,Comfort Isd,1100,B
'133901,71,Center Point Isd,576,C
'133903,84,Kerrville Isd,5019,B
'133904,78,Ingram Isd,1107,C
'134901,81,Junction Isd,614,B
'136901,87,Brackett Isd,582,A
'137901,60,Kingsville Isd,3388,F
'137902,89,Ricardo Isd,688,A
'137903,82,Riviera Isd,421,B
'137904,94,Santa Gertrudis Isd,753,A
'138902,86,Knox City-O'Brien Cisd,278,B
'138903,80,Munday Cisd,368,C
'139905,87,Chisum Isd,953,B
'139909,80,Paris Isd,3815,B
'139911,76,North Lamar Isd,2550,C
'139912,87,Prairiland Isd,1147,B
'140904,78,Littlefield Isd,1337,C
