"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-89767.4224442723,15730.6682202751,-5.70652315510487,1.72979433430199e-08
"2","real_ach",644.719005526044,218.478219267314,2.95095322402465,0.00327823877085763
"3","med_incE",2.92787149070261,0.0898490368748489,32.5865651156713,1.90318984027415e-140
